campaign_id,platform,campaign_objective,ad_placement,device_type,creative_format,retargeting_flag,quarter,impressions,clicks,conversions,ad_spend,revenue,profit,CTR,CPC,conversion_rate,CPA,ROAS,budget_action
CAMP_04409,TikTok,Lead Generation,Stories,Desktop,Video,True,4,398156,31852,5384,45548.36,1126438.04,1080889.68,8.0,1.43,16.903,8.46,24.73,Increase Budget
CAMP_02282,Instagram,Lead Generation,Stories,Desktop,Image,False,3,117932,4632,615,3149.76,1067129.85,1063980.09,3.928,0.68,13.277,5.12,338.8,Increase Budget
CAMP_05146,Instagram,App Installs,Feed,Desktop,Video,True,1,70240,5619,1082,18205.56,1007350.43,989144.87,8.0,3.24,19.256,16.83,55.33,Increase Budget
CAMP_05048,Facebook,Lead Generation,Stories,Desktop,Image,True,4,72700,5772,1443,5367.96,990608.6,985240.64,7.939,0.93,25.0,3.72,184.54,Increase Budget
CAMP_09844,Twitter,Conversions,Feed,Desktop,Video,True,2,107279,6325,633,4743.75,942969.41,938225.66,5.896,0.75,10.008,7.49,198.78,Increase Budget
CAMP_01728,TikTok,Engagement,In-Stream Video,Desktop,Image,True,1,193866,8328,991,12492.0,928051.24,915559.24,4.296,1.5,11.9,12.61,74.29,Increase Budget
CAMP_08860,Facebook,Conversions,Stories,Desktop,Video,True,3,186499,7106,1776,10730.06,913725.3,902995.24,3.81,1.51,24.993,6.04,85.16,Increase Budget
CAMP_09973,Facebook,Engagement,Feed,Desktop,Video,False,4,71202,5696,1424,4784.64,830251.78,825467.14,8.0,0.84,25.0,3.36,173.52,Increase Budget
CAMP_09982,Facebook,Conversions,Stories,Desktop,Image,True,1,500000,12664,976,18109.52,801834.44,783724.92,2.533,1.43,7.707,18.55,44.28,Increase Budget
CAMP_02594,Facebook,Lead Generation,Feed,Desktop,Interactive,False,1,375183,13823,1556,12302.47,773585.86,761283.39,3.684,0.89,11.257,7.91,62.88,Increase Budget
CAMP_07499,Facebook,Lead Generation,Sidebar,Mobile,Carousel,False,4,285147,22811,1635,30110.52,777140.99,747030.47,8.0,1.32,7.168,18.42,25.81,Increase Budget
CAMP_01888,Google Ads,Lead Generation,Search,Desktop,Image,True,3,308168,8810,2202,19998.7,759521.03,739522.33,2.859,2.27,24.994,9.08,37.98,Increase Budget
CAMP_05087,TikTok,Conversions,Display Network,Tablet,Image,True,4,106172,7005,1751,7775.55,720625.25,712849.7,6.598,1.11,24.996,4.44,92.68,Increase Budget
CAMP_01679,Facebook,Brand Awareness,Display Network,Desktop,Video,True,4,282764,14854,1075,29559.46,735795.25,706235.79,5.253,1.99,7.237,27.5,24.89,Increase Budget
CAMP_06685,Google Ads,Conversions,Search,Desktop,Story,False,1,246256,7194,676,49998.3,747325.98,697327.68,2.921,6.95,9.397,73.96,14.95,Increase Budget
CAMP_02071,Facebook,Conversions,Feed,Desktop,Image,False,1,500000,7231,582,11424.98,699086.87,687661.89,1.446,1.58,8.049,19.63,61.19,Increase Budget
CAMP_04178,LinkedIn,Conversions,Display Network,Desktop,Video,False,4,161217,3780,573,19996.2,661286.61,641290.41,2.345,5.29,15.159,34.9,33.07,Increase Budget
CAMP_04005,TikTok,Brand Awareness,Sidebar,Desktop,Image,True,4,500000,11371,699,9892.77,649835.6,639942.83,2.274,0.87,6.147,14.15,65.69,Increase Budget
CAMP_04195,Google Ads,Conversions,Sidebar,Desktop,Video,True,3,93702,4420,754,6453.2,630686.91,624233.71,4.717,1.46,17.059,8.56,97.73,Increase Budget
CAMP_02377,Google Ads,Lead Generation,Feed,Desktop,Video,False,2,296110,7309,999,20172.84,620096.94,599924.1,2.468,2.76,13.668,20.19,30.74,Increase Budget
CAMP_06035,TikTok,Conversions,Stories,Desktop,Image,False,3,486216,19223,1382,17877.39,602497.36,584619.97,3.954,0.93,7.189,12.94,33.7,Increase Budget
CAMP_08878,Instagram,Lead Generation,Search,Desktop,Video,False,2,327096,8607,695,34514.07,614603.95,580089.88,2.631,4.01,8.075,49.66,17.81,Increase Budget
CAMP_04633,Google Ads,Conversions,Stories,Tablet,Video,True,1,112880,3150,787,6237.0,583846.4,577609.4,2.791,1.98,24.984,7.93,93.61,Increase Budget
CAMP_04529,Twitter,Conversions,Feed,Desktop,Video,False,2,448502,25125,2857,49998.75,623771.85,573773.1,5.602,1.99,11.371,17.5,12.48,Increase Budget
CAMP_06352,TikTok,Lead Generation,Search,Desktop,Video,False,2,121105,7005,884,4763.4,565574.69,560811.29,5.784,0.68,12.62,5.39,118.73,Increase Budget
CAMP_05504,Instagram,Lead Generation,Feed,Desktop,Carousel,True,2,268561,6172,1216,19997.28,574397.47,554400.19,2.298,3.24,19.702,16.45,28.72,Increase Budget
CAMP_05539,Facebook,Lead Generation,Stories,Desktop,Video,False,4,500000,23255,1291,49998.25,601453.99,551455.74,4.651,2.15,5.551,38.73,12.03,Increase Budget
CAMP_06612,Facebook,Conversions,Feed,Desktop,Video,False,2,135598,5774,1443,5081.12,547729.63,542648.51,4.258,0.88,24.991,3.52,107.8,Increase Budget
CAMP_01852,Twitter,Conversions,Feed,Tablet,Video,False,4,373941,29915,1244,48761.45,586230.7,537469.25,8.0,1.63,4.158,39.2,12.02,Increase Budget
CAMP_01472,Google Ads,Conversions,Feed,Mobile,Story,True,1,500000,12122,939,44366.52,581640.56,537274.04,2.424,3.66,7.746,47.25,13.11,Increase Budget
CAMP_03380,TikTok,Conversions,Feed,Desktop,Video,False,3,224419,14857,2932,7725.64,543537.78,535812.14,6.62,0.52,19.735,2.63,70.36,Increase Budget
CAMP_09808,Google Ads,Conversions,Feed,Desktop,Video,True,4,70498,5639,953,9417.13,534469.29,525052.16,7.999,1.67,16.9,9.88,56.76,Increase Budget
CAMP_04401,Google Ads,Brand Awareness,Display Network,Desktop,Image,False,4,209336,10978,862,11966.02,526994.57,515028.55,5.244,1.09,7.852,13.88,44.04,Increase Budget
CAMP_06681,Instagram,Conversions,Feed,Desktop,Video,True,2,109879,6634,736,9552.96,522940.59,513387.63,6.038,1.44,11.094,12.98,54.74,Increase Budget
CAMP_04141,Facebook,Lead Generation,Search,Desktop,Carousel,True,1,125951,3985,644,6615.1,502231.13,495616.03,3.164,1.66,16.161,10.27,75.92,Increase Budget
CAMP_04520,Facebook,Brand Awareness,In-Stream Video,Desktop,Video,True,1,150549,5780,592,19998.8,511822.17,491823.37,3.839,3.46,10.242,33.78,25.59,Increase Budget
CAMP_06248,LinkedIn,Conversions,Search,Desktop,Video,False,3,49797,2192,548,19991.04,507837.29,487846.25,4.402,9.12,25.0,36.48,25.4,Increase Budget
CAMP_06094,Facebook,Conversions,Sidebar,Desktop,Carousel,False,1,134656,7743,1132,9291.6,494600.69,485309.09,5.75,1.2,14.62,8.21,53.23,Increase Budget
CAMP_02132,Google Ads,Brand Awareness,Feed,Mobile,Image,False,4,410056,9752,908,29743.6,513333.28,483589.68,2.378,3.05,9.311,32.76,17.26,Increase Budget
CAMP_07193,Facebook,Lead Generation,In-Stream Video,Mobile,Video,False,3,278263,13513,508,19999.24,493062.58,473063.34,4.856,1.48,3.759,39.37,24.65,Increase Budget
CAMP_07561,LinkedIn,Conversions,Feed,Desktop,Carousel,False,4,500000,6729,1078,49996.47,522695.08,472698.61,1.346,7.43,16.02,46.38,10.45,Increase Budget
CAMP_06130,Facebook,Lead Generation,Display Network,Desktop,Video,False,3,66905,2565,400,7310.25,479362.62,472052.37,3.834,2.85,15.595,18.28,65.57,Increase Budget
CAMP_04790,Instagram,Lead Generation,Feed,Desktop,Video,True,4,325173,15657,613,27086.61,491945.67,464859.06,4.815,1.73,3.915,44.19,18.16,Increase Budget
CAMP_03416,Facebook,Conversions,Search,Desktop,Interactive,True,1,116824,3641,847,8301.48,468924.51,460623.03,3.117,2.28,23.263,9.8,56.49,Increase Budget
CAMP_09731,Facebook,Brand Awareness,Sidebar,Mobile,Image,True,3,500000,13592,341,17397.76,476982.38,459584.62,2.718,1.28,2.509,51.02,27.42,Increase Budget
CAMP_04244,Facebook,Lead Generation,Feed,Desktop,Video,True,4,81413,6513,1287,10160.28,464112.95,453952.67,8.0,1.56,19.76,7.89,45.68,Increase Budget
CAMP_06943,Facebook,Conversions,Feed,Desktop,Carousel,True,2,151320,5557,359,10391.59,444446.91,434055.32,3.672,1.87,6.46,28.95,42.77,Increase Budget
CAMP_00569,Instagram,App Installs,Stories,Mobile,Carousel,True,2,251667,10414,567,34782.76,464311.2,429528.44,4.138,3.34,5.445,61.35,13.35,Increase Budget
CAMP_01960,Twitter,Conversions,Sidebar,Desktop,Image,False,1,156729,5789,396,7004.69,429882.09,422877.4,3.694,1.21,6.841,17.69,61.37,Increase Budget
CAMP_00760,TikTok,Conversions,Search,Desktop,Image,False,3,473911,6677,661,11417.67,434181.82,422764.15,1.409,1.71,9.9,17.27,38.03,Increase Budget
CAMP_07631,TikTok,Lead Generation,Feed,Desktop,Carousel,True,1,84278,2266,286,2832.5,423402.2,420569.7,2.689,1.25,12.621,9.9,149.48,Increase Budget
CAMP_03537,Facebook,Lead Generation,Feed,Desktop,Video,False,1,79858,5464,1223,6775.36,426727.86,419952.5,6.842,1.24,22.383,5.54,62.98,Increase Budget
CAMP_05193,Google Ads,Conversions,Feed,Desktop,Video,False,1,116634,5761,641,17916.71,431196.15,413279.44,4.939,3.11,11.127,27.95,24.07,Increase Budget
CAMP_00411,TikTok,Lead Generation,Feed,Desktop,Image,False,4,252582,19373,3868,19760.46,429958.29,410197.83,7.67,1.02,19.966,5.11,21.76,Increase Budget
CAMP_01921,Twitter,Conversions,Feed,Desktop,Interactive,True,1,62123,2289,526,3959.97,412058.27,408098.3,3.685,1.73,22.979,7.53,104.06,Increase Budget
CAMP_01154,Facebook,Conversions,Search,Desktop,Video,True,4,45125,3610,485,2599.2,410328.26,407729.06,8.0,0.72,13.435,5.36,157.87,Increase Budget
CAMP_08943,Facebook,App Installs,Search,Desktop,Video,False,3,135011,4058,489,5275.4,411575.8,406300.4,3.006,1.3,12.05,10.79,78.02,Increase Budget
CAMP_05702,Google Ads,Lead Generation,Feed,Desktop,Video,False,2,249525,11403,753,30331.98,435949.71,405617.73,4.57,2.66,6.604,40.28,14.37,Increase Budget
CAMP_02392,Instagram,Brand Awareness,Stories,Mobile,Video,False,1,438755,13918,388,18371.76,417895.81,399524.05,3.172,1.32,2.788,47.35,22.75,Increase Budget
CAMP_05155,Facebook,Conversions,Stories,Desktop,Image,False,4,270628,9933,1324,22150.59,420635.55,398484.96,3.67,2.23,13.329,16.73,18.99,Increase Budget
CAMP_07601,Facebook,Conversions,Feed,Desktop,Video,False,2,176410,5710,981,14103.7,406654.76,392551.06,3.237,2.47,17.18,14.38,28.83,Increase Budget
CAMP_01221,Google Ads,Engagement,Feed,Desktop,Video,False,4,139914,5847,496,19996.74,407802.23,387805.49,4.179,3.42,8.483,40.32,20.39,Increase Budget
CAMP_08021,Facebook,Lead Generation,Stories,Desktop,Carousel,True,4,52019,4161,1040,4077.78,390679.47,386601.69,7.999,0.98,24.994,3.92,95.81,Increase Budget
CAMP_03018,Facebook,Lead Generation,Stories,Desktop,Video,False,2,97198,5100,388,9486.0,393708.33,384222.33,5.247,1.86,7.608,24.45,41.5,Increase Budget
CAMP_06319,Google Ads,Conversions,Search,Desktop,Interactive,False,4,58569,3246,738,19995.36,402823.18,382827.82,5.542,6.16,22.736,27.09,20.15,Increase Budget
CAMP_05936,Google Ads,Conversions,Stories,Mobile,Video,True,1,390752,10121,927,49997.74,432752.35,382754.61,2.59,4.94,9.159,53.93,8.66,Increase Budget
CAMP_07628,LinkedIn,Lead Generation,Search,Mobile,Story,True,1,154244,6507,625,30843.18,413547.98,382704.8,4.219,4.74,9.605,49.35,13.41,Increase Budget
CAMP_03750,Google Ads,App Installs,Search,Desktop,Carousel,False,4,49115,3929,486,19330.68,400500.17,381169.49,8.0,4.92,12.37,39.78,20.72,Increase Budget
CAMP_09407,Google Ads,Lead Generation,Feed,Desktop,Carousel,False,2,174380,5525,434,19503.25,399960.37,380457.12,3.168,3.53,7.855,44.94,20.51,Increase Budget
CAMP_03802,Google Ads,Engagement,Stories,Mobile,Video,False,4,85551,6254,326,19950.26,400003.51,380053.25,7.31,3.19,5.213,61.2,20.05,Increase Budget
CAMP_01883,Google Ads,Conversions,In-Stream Video,Desktop,Video,False,2,160994,8962,1079,48484.42,420943.49,372459.07,5.567,5.41,12.04,44.93,8.68,Increase Budget
CAMP_06072,LinkedIn,Lead Generation,Sidebar,Desktop,Video,True,4,52278,4182,1045,10329.54,382581.17,372251.63,8.0,2.47,24.988,9.88,37.04,Increase Budget
CAMP_04350,Facebook,Conversions,Search,Desktop,Carousel,True,1,69365,3400,719,8738.0,377390.8,368652.8,4.902,2.57,21.147,12.15,43.19,Increase Budget
CAMP_01135,LinkedIn,Conversions,Search,Mobile,Video,False,4,121535,5039,842,23229.79,389944.33,366714.54,4.146,4.61,16.71,27.59,16.79,Increase Budget
CAMP_05029,Facebook,Conversions,Feed,Tablet,Image,False,1,296341,7675,751,14812.75,377402.49,362589.74,2.59,1.93,9.785,19.72,25.48,Increase Budget
CAMP_09117,Google Ads,Conversions,Search,Desktop,Image,True,3,171841,2645,661,9495.55,367736.58,358241.03,1.539,3.59,24.991,14.37,38.73,Increase Budget
CAMP_07361,LinkedIn,Conversions,Stories,Desktop,Carousel,False,2,301007,12934,1266,36085.86,388606.05,352520.19,4.297,2.79,9.788,28.5,10.77,Increase Budget
CAMP_05116,Twitter,Conversions,Display Network,Desktop,Video,False,1,341276,10247,749,20596.47,369128.88,348532.41,3.003,2.01,7.309,27.5,17.92,Increase Budget
CAMP_06561,Google Ads,Lead Generation,Feed,Desktop,Video,False,3,59587,3092,369,15367.24,360617.08,345249.84,5.189,4.97,11.934,41.65,23.47,Increase Budget
CAMP_09875,Google Ads,Conversions,Search,Desktop,Image,False,1,500000,6404,1437,18827.76,363204.72,344376.96,1.281,2.94,22.439,13.1,19.29,Increase Budget
CAMP_09915,Google Ads,Lead Generation,Search,Desktop,Carousel,False,3,228779,4535,675,19999.35,362981.1,342981.75,1.982,4.41,14.884,29.63,18.15,Increase Budget
CAMP_05863,LinkedIn,Brand Awareness,In-Stream Video,Desktop,Video,True,3,249736,8077,653,49996.63,392430.22,342433.59,3.234,6.19,8.085,76.56,7.85,Increase Budget
CAMP_08122,Instagram,Conversions,Display Network,Desktop,Video,False,4,45629,3571,649,13069.86,354984.89,341915.03,7.826,3.66,18.174,20.14,27.16,Increase Budget
CAMP_00827,Google Ads,Lead Generation,Sidebar,Desktop,Image,True,1,54881,1777,277,5810.79,346498.97,340688.18,3.238,3.27,15.588,20.98,59.63,Increase Budget
CAMP_03776,Instagram,Engagement,Feed,Desktop,Image,False,3,130045,4977,485,3135.51,342601.47,339465.96,3.827,0.63,9.745,6.46,109.26,Increase Budget
CAMP_00249,Instagram,Engagement,Display Network,Desktop,Carousel,True,3,114254,8336,565,16255.2,353202.33,336947.13,7.296,1.95,6.778,28.77,21.73,Increase Budget
CAMP_07292,TikTok,Brand Awareness,Display Network,Desktop,Carousel,False,1,397992,22251,588,23363.55,359857.56,336494.01,5.591,1.05,2.643,39.73,15.4,Increase Budget
CAMP_04064,Facebook,Lead Generation,Search,Desktop,Video,True,4,68883,5482,923,8442.28,342267.4,333825.12,7.958,1.54,16.837,9.15,40.54,Increase Budget
CAMP_02295,Google Ads,Brand Awareness,Feed,Desktop,Video,False,3,500000,14716,801,35171.24,365458.86,330287.62,2.943,2.39,5.443,43.91,10.39,Increase Budget
CAMP_06022,LinkedIn,App Installs,Search,Desktop,Story,False,4,484554,8093,808,33909.67,358240.09,324330.42,1.67,4.19,9.984,41.97,10.56,Increase Budget
CAMP_09993,Google Ads,Lead Generation,Feed,Mobile,Image,True,1,316912,9435,998,14718.6,338994.57,324275.97,2.977,1.56,10.578,14.75,23.03,Increase Budget
CAMP_09038,LinkedIn,Conversions,Feed,Desktop,Image,True,4,260286,6150,614,30688.5,354161.05,323472.55,2.363,4.99,9.984,49.98,11.54,Increase Budget
CAMP_00704,Instagram,Brand Awareness,In-Stream Video,Desktop,Image,True,4,52900,3521,548,4999.82,326626.43,321626.61,6.656,1.42,15.564,9.12,65.33,Increase Budget
CAMP_01526,TikTok,Lead Generation,Feed,Mobile,Video,False,3,253348,8888,244,19998.0,339403.44,319405.44,3.508,2.25,2.745,81.96,16.97,Increase Budget
CAMP_04682,Google Ads,Lead Generation,Sidebar,Desktop,Video,True,1,24285,1667,416,6434.62,324112.68,317678.06,6.864,3.86,24.955,15.47,50.37,Increase Budget
CAMP_01598,Google Ads,Brand Awareness,Sidebar,Desktop,Video,False,1,53191,3333,327,19898.01,336246.98,316348.97,6.266,5.97,9.811,60.85,16.9,Increase Budget
CAMP_07204,Facebook,Brand Awareness,Stories,Desktop,Video,False,1,142912,8311,440,18616.64,332002.29,313385.65,5.815,2.24,5.294,42.31,17.83,Increase Budget
CAMP_07230,Google Ads,Lead Generation,Sidebar,Mobile,Interactive,False,2,433848,9389,786,19998.57,333357.92,313359.35,2.164,2.13,8.371,25.44,16.67,Increase Budget
CAMP_09582,Facebook,Lead Generation,Stories,Desktop,Video,False,1,77676,3718,484,6097.52,316235.34,310137.82,4.787,1.64,13.018,12.6,51.86,Increase Budget
CAMP_06762,Instagram,Brand Awareness,Stories,Mobile,Carousel,True,4,130428,9284,381,8726.96,313952.1,305225.14,7.118,0.94,4.104,22.91,35.97,Increase Budget
CAMP_06768,Google Ads,Lead Generation,Stories,Desktop,Image,False,2,255484,12071,493,30781.05,335602.9,304821.85,4.725,2.55,4.084,62.44,10.9,Increase Budget
CAMP_05410,Facebook,Lead Generation,Search,Desktop,Video,True,2,60757,4746,405,7356.3,310360.29,303003.99,7.811,1.55,8.534,18.16,42.19,Increase Budget
CAMP_04309,Google Ads,Conversions,Search,Desktop,Story,False,3,309648,5663,594,29447.6,332319.31,302871.71,1.829,5.2,10.489,49.58,11.29,Increase Budget
CAMP_05795,Google Ads,Lead Generation,Feed,Desktop,Carousel,False,2,433935,6644,206,19998.44,322711.14,302712.7,1.531,3.01,3.101,97.08,16.14,Increase Budget
CAMP_05999,TikTok,Lead Generation,Display Network,Desktop,Carousel,True,3,111493,4886,265,8013.04,308359.26,300346.22,4.382,1.64,5.424,30.24,38.48,Increase Budget
CAMP_01345,Facebook,Conversions,Feed,Desktop,Video,False,4,315553,8230,1193,19998.9,318986.09,298987.19,2.608,2.43,14.496,16.76,15.95,Increase Budget
CAMP_02016,LinkedIn,Lead Generation,Search,Desktop,Image,True,4,108820,4660,930,17987.6,315025.85,297038.25,4.282,3.86,19.957,19.34,17.51,Increase Budget
CAMP_01366,TikTok,Brand Awareness,Feed,Tablet,Image,True,4,116505,3579,357,4044.27,293053.19,289008.92,3.072,1.13,9.975,11.33,72.46,Increase Budget
CAMP_01657,Instagram,Conversions,Stories,Desktop,Video,False,3,334169,6485,432,18806.5,306990.45,288183.95,1.941,2.9,6.662,43.53,16.32,Increase Budget
CAMP_01491,Instagram,Lead Generation,Search,Desktop,Carousel,True,4,33379,2645,661,1983.75,289326.56,287342.81,7.924,0.75,24.991,3.0,145.85,Increase Budget
CAMP_05466,LinkedIn,Lead Generation,Display Network,Mobile,Video,True,2,500000,5847,577,49991.85,337292.25,287300.4,1.169,8.55,9.868,86.64,6.75,Increase Budget
CAMP_05037,Facebook,Conversions,Feed,Desktop,Video,True,2,151530,10262,1084,11288.2,294538.24,283250.04,6.772,1.1,10.563,10.41,26.09,Increase Budget
CAMP_04486,Facebook,Conversions,In-Stream Video,Desktop,Carousel,False,1,48117,3583,476,8921.67,292118.82,283197.15,7.446,2.49,13.285,18.74,32.74,Increase Budget
CAMP_00062,Google Ads,Lead Generation,Search,Desktop,Video,False,2,120733,6061,658,9455.16,284523.42,275068.26,5.02,1.56,10.856,14.37,30.09,Increase Budget
CAMP_02768,Instagram,Lead Generation,Feed,Tablet,Image,True,3,500000,14381,435,12655.28,287154.15,274498.87,2.876,0.88,3.025,29.09,22.69,Increase Budget
CAMP_03341,Twitter,App Installs,Feed,Desktop,Video,False,2,64162,3625,437,3045.0,276772.04,273727.04,5.65,0.84,12.055,6.97,90.89,Increase Budget
CAMP_00111,Google Ads,Lead Generation,In-Stream Video,Desktop,Video,False,4,50214,2792,698,15830.64,287903.52,272072.88,5.56,5.67,25.0,22.68,18.19,Increase Budget
CAMP_05383,Google Ads,Lead Generation,Stories,Desktop,Video,False,4,39642,2195,382,8077.6,279860.9,271783.3,5.537,3.68,17.403,21.15,34.65,Increase Budget
CAMP_01320,Instagram,Brand Awareness,Feed,Desktop,Video,True,2,141008,8264,887,27932.32,297489.31,269556.99,5.861,3.38,10.733,31.49,10.65,Increase Budget
CAMP_08238,Google Ads,Conversions,Feed,Desktop,Interactive,False,1,162074,4107,375,10883.55,279151.57,268268.02,2.534,2.65,9.131,29.02,25.65,Increase Budget
CAMP_09862,Instagram,Lead Generation,Feed,Desktop,Video,False,3,104731,5749,341,4829.16,272327.29,267498.13,5.489,0.84,5.931,14.16,56.39,Increase Budget
CAMP_02975,Instagram,Lead Generation,Search,Mobile,Video,False,4,95835,3238,348,10361.6,277834.31,267472.71,3.379,3.2,10.747,29.77,26.81,Increase Budget
CAMP_02146,LinkedIn,Conversions,Feed,Desktop,Video,True,1,75068,3596,410,17332.72,284452.98,267120.26,4.79,4.82,11.402,42.27,16.41,Increase Budget
CAMP_07548,Facebook,Lead Generation,Search,Desktop,Video,True,4,45124,2747,314,4999.54,271275.46,266275.92,6.088,1.82,11.431,15.92,54.26,Increase Budget
CAMP_03830,Facebook,Lead Generation,Sidebar,Desktop,Video,False,1,14545,939,228,3417.96,269612.24,266194.28,6.456,3.64,24.281,14.99,78.88,Increase Budget
CAMP_05652,Google Ads,Conversions,Display Network,Mobile,Video,False,3,157725,3719,358,18632.19,281978.2,263346.01,2.358,5.01,9.626,52.05,15.13,Increase Budget
CAMP_07712,TikTok,Lead Generation,Search,Desktop,Video,False,4,138790,11103,476,7439.01,268961.9,261522.89,8.0,0.67,4.287,15.63,36.16,Increase Budget
CAMP_04425,Facebook,Lead Generation,Search,Desktop,Text,False,2,282293,7025,686,8430.0,267355.51,258925.51,2.489,1.2,9.765,12.29,31.71,Increase Budget
CAMP_04310,Google Ads,Conversions,Stories,Mobile,Carousel,True,4,317807,13496,628,27801.76,285758.71,257956.95,4.247,2.06,4.653,44.27,10.28,Increase Budget
CAMP_02390,Google Ads,Conversions,Feed,Desktop,Image,True,4,89386,3584,896,19998.72,277629.21,257630.49,4.01,5.58,25.0,22.32,13.88,Increase Budget
CAMP_07608,Facebook,Conversions,Search,Desktop,Image,False,2,159600,3618,645,5752.62,263377.75,257625.13,2.267,1.59,17.828,8.92,45.78,Increase Budget
CAMP_01256,Instagram,Lead Generation,Feed,Desktop,Video,False,4,222022,9081,417,20704.68,278256.65,257551.97,4.09,2.28,4.592,49.65,13.44,Increase Budget
CAMP_06514,Facebook,Conversions,Search,Desktop,Video,False,3,85448,5994,529,7012.98,263980.88,256967.9,7.015,1.17,8.825,13.26,37.64,Increase Budget
CAMP_01559,Google Ads,Conversions,Display Network,Desktop,Carousel,True,3,177110,2262,459,4999.02,261656.76,256657.74,1.277,2.21,20.292,10.89,52.34,Increase Budget
CAMP_07340,Google Ads,Lead Generation,Display Network,Desktop,Carousel,True,3,177817,4247,589,8196.71,262761.88,254565.17,2.388,1.93,13.869,13.92,32.06,Increase Budget
CAMP_00064,Google Ads,Lead Generation,Display Network,Desktop,Video,True,4,58675,2673,336,19994.04,273916.19,253922.15,4.556,7.48,12.57,59.51,13.7,Increase Budget
CAMP_04303,Google Ads,Conversions,In-Stream Video,Desktop,Video,True,3,34667,2013,282,10326.69,263392.36,253065.67,5.807,5.13,14.009,36.62,25.51,Increase Budget
CAMP_08885,Twitter,Conversions,Display Network,Desktop,Video,False,4,112467,8000,2000,20000.0,272291.97,252291.97,7.113,2.5,25.0,10.0,13.61,Increase Budget
CAMP_08206,Facebook,Lead Generation,Display Network,Desktop,Image,True,1,46257,1338,334,1364.76,252667.62,251302.86,2.893,1.02,24.963,4.09,185.14,Increase Budget
CAMP_08075,Google Ads,Conversions,Display Network,Desktop,Video,False,4,203525,5865,842,19999.65,269838.72,249839.07,2.882,3.41,14.356,23.75,13.49,Increase Budget
CAMP_02881,TikTok,Lead Generation,Search,Desktop,Video,False,3,135175,8530,276,16292.3,266011.98,249719.68,6.31,1.91,3.236,59.03,16.33,Increase Budget
CAMP_09294,Twitter,Conversions,Sidebar,Desktop,Interactive,False,1,126042,9437,316,13117.43,262437.34,249319.91,7.487,1.39,3.349,41.51,20.01,Increase Budget
CAMP_03745,Google Ads,Brand Awareness,Feed,Tablet,Video,True,4,69090,4961,521,15825.59,265114.18,249288.59,7.18,3.19,10.502,30.38,16.75,Increase Budget
CAMP_08670,Instagram,Conversions,Search,Desktop,Interactive,False,1,44361,2617,266,4998.47,252163.11,247164.64,5.899,1.91,10.164,18.79,50.45,Increase Budget
CAMP_06629,LinkedIn,Conversions,Feed,Mobile,Image,False,1,146847,2682,194,14295.06,260489.29,246194.23,1.826,5.33,7.233,73.69,18.22,Increase Budget
CAMP_06978,Twitter,Conversions,Sidebar,Desktop,Video,False,1,70637,4559,834,7431.17,252681.1,245249.93,6.454,1.63,18.293,8.91,34.0,Increase Budget
